timestamp,best_edges,instances,total_crashes,total_hangs,plateau_secs
1788769845,5513,6,0,25,240
1788769905,5513,6,0,25,300
1788769965,5513,6,0,25,360
1788770025,5516,6,0,25,0
1788770085,5516,6,0,25,60
1788770145,5516,6,0,25,120
1788770205,5517,6,0,25,0
1788770265,5517,6,0,25,60
1788770325,5517,6,0,25,120
1788770385,5517,6,0,25,180
1788770445,5517,6,0,25,240
1788770505,5517,6,0,25,300
1788770565,5521,6,0,26,0
1788770625,5521,6,0,27,60
1788770685,5521,6,0,27,120
1788770745,5521,6,0,27,180
1788770805,5521,6,0,27,240
1788770865,5521,6,0,27,300
1788770925,5540,6,0,27,0
1788770985,5540,6,0,27,60
1788771045,5540,6,0,28,120
1788771105,5540,6,0,28,180
1788771165,5540,6,0,28,240
1788771225,5540,6,0,28,300
1788771285,5540,6,0,28,360
1788771345,5540,6,0,28,420
1788771405,5540,6,0,28,480
1788771465,5540,6,0,28,540
1788771525,5542,6,0,28,0
1788771585,5542,6,0,28,60
1788771645,5542,6,0,28,120
1788771705,5542,6,0,28,180
1788771765,5542,6,0,28,240
1788771825,5543,6,0,28,0
1788771885,5543,6,0,28,60
1788771945,5543,6,0,28,120
1788772005,5543,6,0,28,180
1788772065,5543,6,0,28,240
1788772125,5543,6,0,28,300
1788772185,5543,6,0,28,360
1788772245,5543,6,0,29,420
1788772305,5543,6,0,29,480
1788772366,5544,6,0,29,0
1788772426,5544,6,0,29,60
1788772486,5544,6,0,29,120
1788772546,5544,6,0,29,180
1788772606,5544,6,0,29,240
1788772666,5544,6,0,29,300
1788772726,5545,6,0,29,0
1788772786,5545,6,0,30,60
1788772846,5545,6,0,30,120
1788772906,5545,6,0,30,180
1788772966,5545,6,0,30,240
1788773026,5545,6,0,30,300
1788773086,5545,6,0,30,360
1788773146,5545,6,0,30,420
1788773206,5545,6,0,30,480
1788773266,5545,6,0,30,540
1788773326,5546,6,0,30,0
1788773386,5546,6,0,30,60
1788773446,5546,6,0,30,120
1788773506,5546,6,0,30,180
1788773566,5546,6,0,31,240
1788773626,5546,6,0,31,300
1788773686,5546,6,0,31,360
1788773746,5546,6,0,31,420
1788773806,5546,6,0,31,480
1788773866,5546,6,0,31,540
1788773926,5549,6,0,31,0
1788773986,5549,6,0,31,60
1788774046,5549,6,0,31,120
1788774106,5549,6,0,31,180
1788774166,5549,6,0,31,240
1788774226,5549,6,0,31,300
1788774286,5549,6,0,31,360
1788774346,5549,6,0,31,420
1788774406,5549,6,0,31,480
1788774466,5549,6,0,31,540
1788774526,5549,6,0,31,600
1788774586,5549,6,0,32,660
1788774647,5549,6,0,32,720
1788774707,5549,6,0,32,780
1788774767,5549,6,0,33,840
1788774827,5549,6,0,33,900
1788774887,5549,6,0,33,960
1788774947,5549,6,0,33,1020
1788775007,5549,6,0,33,1080
1788775067,5549,6,0,34,1140
1788775127,5549,6,0,34,1200
1788775187,5549,6,0,34,1260
1788775247,5549,6,0,34,1320
1788775307,5549,6,0,34,1380
1788775367,5549,6,0,34,1440
1788775427,5549,6,0,34,1500
1788775487,5550,6,0,34,0
1788775547,5550,6,0,34,60
1788775607,5550,6,0,34,120
1788775667,5550,6,0,34,180
1788775727,5550,6,0,34,240
1788775787,5550,6,0,34,300
1788775847,5550,6,0,34,360
1788775907,5550,6,0,34,420
1788775967,5550,6,0,34,480
1788776027,5550,6,0,34,540
1788776087,5550,6,0,34,600
1788776147,5550,6,0,34,660
1788776207,5550,6,0,34,720
1788776267,5550,6,0,34,780
1788776327,5550,6,0,34,840
1788776387,5550,6,0,34,900
1788776447,5550,6,0,35,960
1788776507,5550,6,0,35,1020
1788776567,5550,6,0,35,1080
1788776627,5550,6,0,35,1140
1788776687,5550,6,0,35,1200
1788776747,5550,6,0,35,1260
1788776808,5550,6,0,35,1320
1788776868,5550,6,0,35,1380
1788776928,5550,6,0,36,1440
1788776988,5550,6,0,36,1500
1788777048,5550,6,0,36,1560
1788777108,5550,6,0,36,1620
1788777168,5551,6,0,36,0
1788777228,5551,6,0,36,60
1788777288,5551,6,0,36,120
1788777348,5551,6,0,36,180
1788777408,5551,6,0,36,240
1788777468,5551,6,0,36,300
1788777528,5551,6,0,36,360
1788777588,5551,6,0,36,420
1788777648,5551,6,0,36,480
1788777708,5551,6,0,36,540
1788777768,5551,6,0,36,600
1788777828,5551,6,0,36,660
1788777888,5551,6,0,36,720
1788777948,5551,6,0,36,780
1788778008,5551,6,0,36,840
1788778068,5551,6,0,36,900
1788778128,5552,6,0,36,0
1788778188,5552,6,0,36,60
1788778248,5553,6,0,36,0
1788778308,5554,6,0,36,0
1788778368,5555,6,0,36,0
1788778428,5555,6,0,37,60
1788778488,5555,6,0,37,120
1788778548,5555,6,0,37,180
1788778608,5555,6,0,38,240
1788778668,5555,6,0,38,300
1788778729,5555,6,0,39,360
1788778789,5555,6,0,39,420
1788778849,5555,6,0,39,480
1788778909,5557,6,0,39,0
1788778969,5557,6,0,39,60
1788779029,5557,6,0,39,120
1788779089,5557,6,0,39,180
1788779149,5566,6,0,40,0
1788779209,5567,6,0,40,0
1788779269,5567,6,0,41,60
1788779329,5567,6,0,41,120
1788779389,5567,6,0,41,180
1788779449,5567,6,0,41,240
1788779509,5576,6,0,41,0
1788779569,5576,6,0,41,60
1788779629,5576,6,0,41,120
1788779689,5576,6,0,41,180
1788779749,5576,6,0,41,240
1788779809,5576,6,0,41,300
1788779869,5576,6,0,41,360
1788779929,5577,6,0,41,0
1788779989,5577,6,0,41,60
1788780049,5577,6,0,41,120
1788780109,5579,6,0,41,0
1788780169,5579,6,0,41,60
1788780229,5579,6,0,41,120
1788780289,5579,6,0,41,180
1788780349,5579,6,0,41,240
1788780409,5580,6,0,41,0
1788780470,5580,6,0,41,60
1788780530,5580,6,0,41,120
1788780590,5580,6,0,41,180
1788780650,5580,6,0,41,240
1788780710,5582,6,0,41,0
1788780770,5582,6,0,41,60
1788780830,5582,6,0,41,120
1788780890,5582,6,0,41,180
1788780950,5582,6,0,41,240
1788781010,5582,6,0,41,300
1788781070,5582,6,0,41,360
1788781130,5582,6,0,42,420
1788781190,5582,6,0,42,480
1788781250,5582,6,0,42,540
1788781310,5582,6,0,42,600
1788781370,5582,6,0,42,660
1788781430,5584,6,0,42,0
1788781490,5584,6,0,42,60
1788781550,5584,6,0,42,120
1788781610,5584,6,0,42,180
1788781670,5584,6,0,42,240
1788781730,5584,6,0,42,300
1788781790,5584,6,0,42,360
1788781850,5584,6,0,42,420
1788781910,5584,6,0,42,480
1788781970,5584,6,0,42,540
1788782030,5584,6,0,42,600
1788782090,5584,6,0,42,660
1788782151,5584,6,0,42,720
1788782211,5585,6,0,42,0
1788782271,5588,6,0,42,0
1788782331,5588,6,0,43,60
1788782391,5588,6,0,43,120
1788782451,5590,6,0,43,0
1788782511,5591,6,0,43,0
1788782571,5591,6,0,43,60
1788782631,5591,6,0,43,120
1788782691,5591,6,0,43,180
1788782751,5591,6,0,43,240
1788782811,5591,6,0,43,300
1788782871,5591,6,0,43,360
1788782931,5591,6,0,43,420
1788782991,5591,6,0,43,480
1788783051,5591,6,0,43,540
1788783111,5591,6,0,43,600
1788783171,5591,6,0,43,660
1788783231,5591,6,0,43,720
1788783291,5591,6,0,43,780
1788783351,5591,6,0,43,840
1788783411,5591,6,0,43,900
1788783471,5591,6,0,43,960
1788783531,5591,6,0,43,1020
1788783591,5591,6,0,43,1080
1788783651,5591,6,0,43,1140
1788783711,5591,6,0,43,1200
1788783771,5591,6,0,43,1260
1788783831,5595,6,0,43,0
